Phrase	Combined Score	Phrase Quality Score	Wiki Linking Score	NP Count Score	
encrypted_data	1.31526093001	0.864955657	1	0	
nizk_proofs	1.31519130844	0.8648640889	0	1	
hadamard_matrices	2.6303353257	0.8648329907	3	1	
data_hiding	1.85990214528	0.8648089975	3	0	
byzantine_agreement	2.63027048966	0.8647903561	3	1	
cheating_prevention	1.61069551536	0.8647800144	2	0	
complex_multiplication	2.63013926719	0.8647040706	3	1	
cryptographic_schemes	2.27764843758	0.8646137342	2	1	
single_photons	1.31487097055	0.8644428346	1	0	
beam_splitters	2.27682620865	0.8639895974	2	1	
gray_scale	2.2767678522	0.8639453088	2	1	
bell_inequality	2.62860787673	0.8636974212	3	1	
user_authentication	2.27632684819	0.8636106533	2	1	
reversible_logic	2.62803442732	0.8633206189	3	1	
cryptographic_primitive	2.62767037263	0.8630814484	3	1	
galois_field	2.62764991306	0.8630680082	3	1	
cryptographic_algorithms	2.27556730751	0.8630344285	2	1	
en_cryption	1.60875528335	0.8626978539	2	0	
energy_consumption	2.62642196168	0.8622615401	3	1	
tightly_coupled	1.60790539535	0.8617865868	2	0	
certificateless_signature	2.27388288089	0.861757226	2	1	
wireless_communications	2.62565145059	0.8617556925	3	1	
clock_cycles	2.62505234508	0.8613624768	3	1	
energy_efficient	1.31241420192	0.8612155187	1	0	
photon_polarization	2.62466226688	0.8611065019	3	1	
hyperelliptic_curves	2.27279261812	0.8609310475	2	1	
privacy_preserving	1.6070692589	0.8608905343	2	0	
meaningful_shares	2.27269375451	0.8608561503	2	1	
channel_probing	0.92756215091	0.8603715438	0	0	
cryptographic_tasks	2.27197560392	0.8603121908	2	1	
montgomery_multiplication	2.6234306239	0.8602985298	3	1	
ibe_lite	1.31166258596	0.8602293697	0	1	
halftone_image	2.2716537841	0.8600684858	2	1	
tamper_proof_hardware_tokens	1.3114898926	0.8600028692	0	1	
public_key_encryption	2.62196308227	0.8593363006	3	1	
pseudorandom_bit_generators	2.27064375066	0.8593038404	2	1	
traitor_tracing	1.85383077005	0.859172131	3	0	
prefix_preserving	1.60501342658	0.8586893665	2	0	
entropic_uncertainty	2.62086583892	0.8586172182	3	1	
graphics_processing_units	2.62060524429	0.8584464808	3	1	
arithmetic_operations	2.62035056922	0.8582796382	3	1	
broadcast_encryption	2.62023094509	0.8582012757	3	1	
cryptographic_path_hardening	1.31008859487	0.8581660632	0	1	
cl_pkc	2.26900693243	0.8580654099	2	1	
error_correcting	1.60413919599	0.8577541867	2	0	
ad_hoc_network	1.8518835634	0.8573681831	3	0	
quasi_cyclic	2.26754444433	0.8569596345	2	1	
rfid_authentication_protocols	2.26751808451	0.8569397106	2	1	
linear_codes	2.26741211296	0.856859615	2	1	
multi_precision	2.26739942008	0.8568500217	2	1	
key_issuing	1.6029519198	0.8564849524	2	0	
certificate_revocation	2.61753880552	0.8564386748	3	1	
key_size	2.61736066678	0.8563221075	3	1	
encryp_tion	1.30793907442	0.8553523112	0	1	
cost_effective	0.924645006421	0.8549683879	0	0	
order_preserving	1.60095192963	0.854349027	2	0	
reversible_logic_circuits	2.26406158719	0.8543291451	2	1	
photon_counting	1.84845951722	0.8542006467	3	0	
cryptographic_protocol	2.61411615809	0.854200411	3	1	
future_directions	1.30690003221	0.8539938471	0	1	
cellular_programming	1.60030795174	0.8536618468	2	0	
quantum_authentication_protocols	2.26262296435	0.8532437798	2	1	
